"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"덴마크","폐수처리 및 자원재활용",78537,131949,65049,65054,92421,75620,24836,19984,12032,38261,16856,8744,76470,10848,9,5278,7568,58118,15552,0,-
"독일","전산업",10303964224,10056206492,11542529268,10522710707,8820863155,10702180215,9500927043,7509691315,7907864814,7570925578,6220210788,6442963453,8483846863,9372656850,8685736956,9576135535,11109893534,10067731683,10317120538,9036998413,3453211017
"독일","농림어업",2463124,1096794,256253,842282,1103713,2360312,1555007,1197984,2234888,1646080,1308367,1650027,1359950,2283582,1630590,1459918,1658178,1671411,1375479,1644728,538275
"독일","광업",202865,401345,162270,386382,1519230,3013344,3692478,4717997,4900605,2100876,3051929,1393326,1639971,1907129,1754602,1057314,1051207,957895,1216511,2382795,1422128
"독일","제조업",10284036392,10043015380,11524279647,10505516402,8803043696,10679940213,9481878961,7497666691,7897627644,7565379865,6215472442,6438603105,8479454530,9368244467,8677750110,9569618145,11098535791,10054577058,10305036346,9009918492,3449688239
"독일","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
"독일","폐수처리 및 자원재활용",17261843,11692973,17831098,15965641,15196516,16866346,13800597,6108643,3101677,1798757,378050,1316995,1392412,221672,4601654,4000158,8648358,10525319,9492202,23052398,1562375
"러시아","전산업",3864169925,5179247875,8087745645,9747956839,4194066403,7759836015,10304879976,11097138308,11149103361,10129248565,4685732134,4768750636,6906617743,7320898751,7774132885,6899967864,9979538790,6328172794,6133435422,4529042959,1179508032
"러시아","농림어업",884350,3456774,3196165,2384301,2979301,2213794,2718319,2579234,3188400,4294671,2160505,2238584,3118244,2925513,2596966,5293513,7272197,3782774,4981363,4049011,501176
"러시아","광업",506151,351426,156652,233489,43423,457948,2386217,1418795,2273240,356303,111515,266360,87984,284392,480956,1387207,191058,981927,6630909,1353279,171969
"러시아","제조업",3862298386,5174934070,8083548511,9744887633,4189818572,7755507215,10297656835,11091028347,11143343011,10124586812,4683306414,4765951541,6903313309,7317579521,7770993697,6893211644,9972060984,6323406447,6121800841,4523618492,1178817788
"러시아","폐수처리 및 자원재활용",481038,505605,844317,451416,1225107,1657058,2118605,2111932,298710,10779,153700,294151,98206,109325,61266,75500,14551,1646,22309,22177,17099
"루마니아","전산업",387251709,608647949,854813043,720586946,387132984,456403890,463313049,438713298,439404376,597928278,538615527,558963264,432311374,483450337,561606240,505033975,588049399,525997098,528461302,627046248,222364001
"루마니아","농림어업",-,-,0,213,400,0,13562,9013,109171,29215,2476,717,1010,2860,18894,4994,19224,39844,101671,113251,80033
"루마니아","광업",11406,18886,7533,91766,9929,8571,0,0,22247,85057,23517,0,260,617,10108,864,252,0,2067,0,0
"루마니아","제조업",387230706,608576741,854645972,720385969,387053981,456362830,463225371,438656246,439124359,597751183,538557361,558943119,432310104,483446860,561577080,505027630,588029923,525954730,528355068,626932997,222283968
"루마니아","폐수처리 및 자원재활용",9597,52322,159538,108998,68674,32489,74116,48039,148599,62823,32173,19428,0,0,158,487,0,2524,2496,0,0
"말레이시아","전산업",4608170916,5227177745,5704247917,5794490738,4324821847,6114822587,6275130950,7723494226,8587756836,7582611408,7735292851,7533346987,8044985007,8993878875,8843498838,9078150407,10107327938,11473479576,9760075662,10443243857,3813083522
"말레이시아","농림어업",3793907,3735853,5311625,5994021,7477442,8357295,9440688,10067721,10869548,13173590,11735657,8688116,10336325,12055043,12187203,10897115,9965986,9745865,8659045,9351621,3936360
"말레이시아","광업",1488990,2023266,1237539,2869008,1324645,1512989,1905156,2585689,2796374,2945155,2772393,3035616,3024409,2966638,3085340,2844481,2747788,3079322,2315109,2287894,1023602
"말레이시아","제조업",4595158729,5213727162,5690234159,5779922431,4312281337,6099584649,6257952745,7706721362,8569835322,7560891294,7715343495,7516559256,8026040668,8965356015,8799606796,9043650297,10078738280,11447537867,9709209034,10392868024,3796265742
"말레이시아","폐수처리 및 자원재활용",7729290,7691464,7464594,5705278,3738423,5367654,5832361,4119454,4255592,5601369,5441306,5063999,5583605,13501179,28619499,20758514,15875884,13116522,39892474,38736318,11857818
