"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"케냐","폐수처리 및 자원재활용",0,148198,217560,141132,39651,0,0,0,0,0,0,0,0,0,0,0,0,0,279509,12000,0
"코스타리카","전산업",164031505,236779861,245912952,256409665,120530587,197326018,319724746,337291137,232059045,242541201,245304791,217163048,168427511,134920255,119380723,111118571,191258001,213197446,281850028,251297770,88142999
"코스타리카","농림어업",2499,163358,21065,111144,0,0,0,411,4823,50,0,0,0,0,1000,0,34849,44976,50766,18961,38028
"코스타리카","광업",-,-,-,-,0,-,2984,0,-,-,24680,62450,50970,53290,54850,35700,54900,106440,105180,61648,120946
"코스타리카","제조업",164029006,236616503,245891887,256298521,120530587,197326018,319721762,337290726,232054222,242541151,245280111,217100598,168376541,134866965,119324873,111082871,191168252,213046030,281694082,251217161,87984025
"코스타리카","폐수처리 및 자원재활용",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"콜롬비아","전산업",623600982,912900345,1120657280,1090758557,797028557,1388552561,1613983641,1467700873,1342312289,1509399371,1128951180,853196414,813717836,1011626209,1143074597,593417972,898174310,939761156,773877828,937502311,365540801
"콜롬비아","농림어업",0,38974,0,496,1650,3697,22797,62800,65757,64595,2002602,711012,371932,168540,104390,56078,147978,56522,75946,144705,28955
"콜롬비아","광업",3878,3728,0,0,40,9414,0,0,5725,11248,3300,4501,7693,2782,680,214,0,170,15060,17460,0
"콜롬비아","제조업",623590067,912842447,1120646760,1090591685,796885289,1388445532,1613914710,1467574715,1342239572,1509323528,1126944911,852480901,813338201,1011454399,1142967724,593354571,898024114,939703386,773785260,937340146,365511846
"콜롬비아","폐수처리 및 자원재활용",7037,15196,10520,166376,141578,93918,46134,63358,1235,0,367,0,10,488,1803,7109,2218,1078,1562,0,0
"쿠웨이트","전산업",458075398,669622641,1305750392,744245158,744108250,1048482382,1431969710,1584163572,1132895425,1975871116,924699392,1405815992,1162575099,1252986473,956031817,660349057,348910838,401509583,558443132,431195159,196995491
"쿠웨이트","농림어업",86467,29735,6144,9887,13832,11748,4393,2500,39314,50693,70542,150120,103015,137813,83866,92955,49130,75897,104323,107443,40912
"쿠웨이트","광업",0,45859,0,90974,399,20901,68785,14893,133,20754,10329,29040,7878,236511,117717,2195,35848,19141,660,17179,7179
"쿠웨이트","제조업",457984488,669547047,1305744248,744134657,744092835,1048449733,1431873853,1584146179,1132852878,1975719610,924554519,1405495060,1162300689,1252604380,955733373,660253907,348823572,401414350,558338149,431069877,196947400
"쿠웨이트","폐수처리 및 자원재활용",4443,0,0,9640,1184,0,22679,0,3100,80059,64002,141772,163517,7769,96861,0,2288,195,0,660,0
"태국","전산업",3380803835,4246112898,4488400396,5779103689,4528169247,6459776012,8458965997,8221082479,8071655894,7599141895,6361610072,6481530812,7467041213,8504994497,7804095419,6852684333,8524224312,8584166214,7548179023,7678229493,2648647973
"태국","농림어업",1686128,1587358,1260305,1579793,1592707,2037024,2446055,4587741,5880065,6659745,6646859,9226545,11036564,10567863,11862467,13036826,14543955,15734981,19263250,21141111,13536870
"태국","광업",532636,464551,791462,1182609,1148708,948070,5877102,9637068,3018695,6726874,3717306,3747446,4504020,10901694,9430000,8776108,18059779,21500638,13767263,14811303,3931432
"태국","제조업",3376568041,4241383526,4483676101,5773687062,4522987905,6452137705,8444426742,8200900875,8060760361,7574076248,6338086001,6460736613,7437157173,8471281768,7773146683,6816151994,8468174769,8520871655,7478336668,7608244142,2621890246
"태국","폐수처리 및 자원재활용",2017030,2677463,2672528,2654225,2439927,4653213,6216098,5956795,1996773,11679028,13159906,7820208,14343456,12243172,9656269,14719405,23445809,26058940,36811842,34032937,9289425
"터키","전산업",2782024513,3035803287,4087436229,3772570419,2660688109,3752906227,5070997002,4551618436,5657826202,6664732032,6249318775,5385010407,6154872138,5980358078,5297808210,5544536807,7025977894,7722957339,8988418750,9008842527,3205604508
"터키","농림어업",409696,355121,74369,181131,263007,179584,442227,365849,1584594,561256,362970,537479,724427,531908,593038,789091,1052458,408207,1356763,1708950,168132
"터키","광업",150950,273943,477263,797397,272081,481887,394966,626851,660609,903183,353091,427022,391316,423250,303785,300812,533365,714673,541572,412312,162288
"터키","제조업",2780403209,3034265277,4086611424,3771258439,2659823207,3750898597,5069062687,4548879215,5655317671,6662832684,6248505125,5383856848,6153652657,5979182766,5296626745,5542789431,7023603741,7721258122,8985209749,9006506096,3205238438
"터키","폐수처리 및 자원재활용",1060658,908946,273173,333452,329814,1346159,1097122,1746521,263328,434909,97589,189058,103738,220154,284642,657473,788330,576337,1310666,215169,35650
"튀니지","전산업",80354721,79858176,101440282,136954248,126825333,344789091,185609960,423350679,167113530,207869889,183660261,152998801,134542394,154155611,181128734,155486118,219285266,143303167,140297934,138968840,45915318
"튀니지","농림어업",82263,37530,38456,84,26,4596,6263,11096,75308,331554,374862,232689,308910,512553,636424,862373,348243,582300,657557,707394,268
"튀니지","광업",-,-,2563,-,48,0,-,1030,-,17309,16735,37,0,0,-,0,-,0,0,-,0
"튀니지","제조업",80272458,79820646,101393313,136944219,126805414,344755755,185581627,423324663,166990285,207521026,183268664,152766075,134233484,153643058,180492310,154623453,218937023,142720867,139640377,138261446,45915050
"튀니지","폐수처리 및 자원재활용",0,-,5950,9945,19845,28740,22070,13890,47937,0,0,0,0,0,0,292,0,0,0,0,0
"파나마","전산업",1622650745,2226691053,3145005730,6463702858,4476617369,4053508827,3798253079,3977303336,3484594285,2764664150,2230250014,1440986892,1642049613,2007502100,1713356748,1369394840,1570171188,1170475188,1087489259,1457326767,368060442
"파나마","농림어업",9085,0,-,-,17181,150,-,47364,2650,90,1831,1100,9579,1965,2100,2209,4682,6813,5754,46442,1717
"파나마","광업",-,-,0,0,14310,0,50,0,-,-,-,-,2231,98,0,183,566,334,2319,3664,-
"파나마","제조업",1622641660,2226691053,3145005730,6463701550,4476538471,4053486696,3798231937,3977236173,3484584458,2764664060,2230248183,1440985792,1642037546,2007497642,1713337686,1369385684,1570162776,1170462962,1087475863,1457274592,368058629
"파나마","폐수처리 및 자원재활용",0,0,0,1308,47407,21981,21092,19799,7177,0,0,0,257,2395,16962,6764,3164,5079,5323,2069,96
"파키스탄","전산업",661876216,673153163,678114679,839567906,729813929,780870886,818095670,847195143,818990460,769963253,790066789,828672482,1006764208,1018000946,832713282,1073230442,1545936376,1199469665,918504083,983875229,434954110
"파키스탄","농림어업",430459,477832,690734,665134,724964,1320558,1039158,1170947,1069300,1308616,1538805,1738398,1753342,1962394,2209686,3111352,3947913,3020311,2905690,3122873,795668
"파키스탄","광업",116971,144235,235456,339677,173209,314049,322500,325346,426466,442754,488441,527072,629378,559906,411924,318575,360587,424895,260292,272535,139868
"파키스탄","제조업",660704200,672049061,676073498,834074823,725114684,777500127,813091663,843451048,815621146,766629983,783291283,823434752,1003681989,1015179033,826895218,1066569832,1539580844,1194909037,913466795,977397097,431691401
"파키스탄","폐수처리 및 자원재활용",624586,482035,1114991,4488272,3801072,1736152,3642349,2247802,1873548,1581900,4748260,2972260,699499,299613,3196454,3230683,2047032,1115422,1871306,3082724,2327173
"포르투갈","전산업",380515561,379759863,414133072,410891985,430795326,1110094035,713258276,276283118,334103855,493240200,525894271,435994997,458723310,579368050,504686082,669355209,744393405,705325279,1098966589,1301770212,311269896
"포르투갈","농림어업",39358,82059,13783,38506,7037,5097,10190,11154,10717,9982,162551,66252,28079,29787,19177,16211,10168,5135,5021,6330,2923
"포르투갈","광업",0,0,0,2399,2865,0,0,41014,0,0,0,7321,1715,12107,20584,1045,6144,7293,13790,21665,760
"포르투갈","제조업",380467557,379643714,414070558,410813801,430762982,1110060059,713207807,276195638,334072794,493214836,525731720,435921422,458693360,579326156,504645014,669335622,744376206,705051293,1097895193,1300131261,311266213
"포르투갈","폐수처리 및 자원재활용",8646,34090,48731,37279,22442,28879,40279,35312,20344,15382,0,2,156,0,1307,2331,887,261558,1052585,1610956,0
"폴란드","전산업",1174964306,2613333910,3508774737,4116764476,4146741314,4381010968,4100788435,3677296625,3600728511,3849508508,2807488184,2912120404,3116364000,4333706571,5314954984,5639354397,6595821993,7858159163,9021926048,8910290031,3326176720
"폴란드","농림어업",32896,18822,56043,119763,74751,84633,71908,80719,92655,88771,107139,165571,391962,267984,155511,340996,291846,53393,331339,89322,59489
"폴란드","광업",9409,16414,0,8160,137,0,510,65103,234551,176263,182999,439482,2479947,42744,48730,41744,100829,158527,182572,8956,34088
"폴란드","제조업",1170213037,2609945019,3506238510,4113475180,4144667472,4379838781,4086399159,3675387899,3599880552,3849017269,2807094211,2911367128,3113165841,4332675971,5313675730,5636335510,6593054522,7855559691,9019128023,8909236821,3326017034
"폴란드","폐수처리 및 자원재활용",4708964,3353655,2480184,3161373,1998954,1087554,14316858,1762904,520753,226205,103835,148223,326250,719872,1075013,2636147,2374796,2387552,2284114,954932,66109
"프랑스","전산업",3172312897,3415467346,3478204331,3495521131,2910564502,3004291170,5707387715,2598778577,3487969915,2639283135,2581264887,2468056848,2994673232,3540795779,3317471593,2983067034,4561345214,5254910426,5510047321,5524407294,1691958736
"프랑스","농림어업",234195,159133,305188,650130,500293,565598,610785,461668,864096,528656,786160,1176262,899715,617576,892279,994141,4316994,724667,2061787,707525,265205
"프랑스","광업",190,330591,5268,27469,37770,50749,24456,36755,40460,33952,18429,49902,50083,4486678,15501920,39990,203508,2189015,265651,219890,38324
"프랑스","제조업",3170465558,3413699914,3476357955,3492509667,2908727868,3002038056,5705533307,2597426133,3486266020,2637708450,2580377197,2466586429,2993716184,3535249496,3301052483,2982001220,4556761724,5234890332,5507674943,5523432513,1691653649
"프랑스","폐수처리 및 자원재활용",1612954,1277708,1535920,2333865,1298571,1636767,1219167,854021,799339,1012077,83101,244255,7250,442029,24911,31683,62988,17106412,44940,47366,1558
"핀란드","전산업",2011897788,1897375317,1293050293,2330023755,558704912,571052246,766346262,744569351,352252754,340264333,309258256,329633545,297219872,331520084,308176568,282653363,530878518,315679794,396134160,467860214,146650138
"핀란드","농림어업",0,0,0,0,1639,0,1000,1200,1400,2988,1430,0,0,400,168,246,0,17827,6929,13310,11
"핀란드","광업",15036,12207,14625,24920,0,9603,3120,11110,3314,6240,6272,3494,0,0,0,2374251,0,7066,1488,5400,16000
"핀란드","제조업",2011569725,1897151711,1292747290,2329485012,558541508,570367998,765592696,744448298,352247998,340255105,309247497,329630051,297219872,331519684,308132266,280278293,530878476,315654691,396125743,467841504,146634127
"핀란드","폐수처리 및 자원재활용",313027,211399,288378,513823,161765,674645,749446,108743,42,0,3057,0,0,0,44134,573,42,210,0,0,-
"필리핀","전산업",3219714168,3930517209,4420333842,5016254965,4567278184,5837982499,7338901812,8210713996,8783426866,10032488962,8317924997,7278419617,10593712925,12037254023,8365339508,7126436758,9659072238,12306078194,9008624048,10246721194,3406149680
"필리핀","농림어업",1217491,369110,513656,602928,714245,1589894,1877959,2477642,4761192,3788639,2818151,2655609,2545061,2963381,3921020,4860309,5451095,8058682,7066617,7439705,2281801
"필리핀","광업",855098,1201217,1233813,3997225,2619873,2855555,27621457,7162903,8213481,10909785,12245865,9968589,11331261,11227678,10413581,9184361,12948157,19003495,10589110,8959420,3622636
"필리핀","제조업",3206426868,3908773778,4406417547,5003109539,4550844039,5820794239,7294526346,8190738300,8760699329,10009724439,8297360323,7262544525,10578812043,12021788514,8348844475,7111410161,9639305798,12278325034,8989916056,10226486835,3398754417
"필리핀","폐수처리 및 자원재활용",11214711,20173104,12168826,8545273,13100027,12742811,14876050,10335151,9752864,8066099,5500658,3250894,1024560,1274450,2160432,981927,1367188,690983,1052265,3835234,1490826
"헝가리","전산업",1099235304,1200796897,1889666772,1512739259,1704374340,2385414573,1475562007,1157486665,2113809751,1481304583,1016490715,953199220,1206082928,1966932283,2477567388,2926395408,4051511537,6162873169,6787435544,5179973226,1378015183
"헝가리","농림어업",0,1503,49,0,0,0,200,3768,5861,15977,18730,12001,43105,48735,3337,28527,26009,95663,44060,34694,2059
"헝가리","광업",0,0,6718,86034,36069,33070,172098,177357,160085,73040,286027,1039411,391064,670271,718114,1004052,849533,353095,236780,102630,73660
"헝가리","제조업",1098810474,1200606143,1889448742,1512324459,1704275673,2385377059,1475353614,1157304545,2113640054,1481213470,1016184939,952146252,1205621751,1966144927,2476779942,2925213056,4050555778,6162284003,6787130909,5179835902,1377933465
"헝가리","폐수처리 및 자원재활용",424830,189251,211263,328766,62598,4444,36095,995,3751,2096,1019,1556,27008,68350,65995,149773,80217,140408,23795,0,5999
"호주","전산업",3812063141,4692086227,4691191478,5171339249,5243143608,6641623980,8163845114,9250484887,9563089729,10282511947,10830634932,7500742815,19861647346,9610424628,7890566358,6188528445,9750478444,18753025481,17791354119,15597944571,4124055305
"호주","농림어업",596852,694963,1009771,2487431,2896024,4880363,5064898,7004742,6927219,6694612,7457813,7703901,8743928,10010236,11532127,11016573,12077744,13235088,11669864,11608262,3526638
"호주","광업",170913,12887238,314775,219664,174575,292410,710417,8609424,541407,1284585,1975888,706315,491603,797366,1396900,15422918,30091043,32216651,14261516,5265402,10606802
"호주","제조업",3811133401,4677903779,4689753303,5168403813,5239868036,6636280129,8157891405,9234633994,9555578514,10274506188,10820626224,7492028907,19851605542,9599571600,7877332460,6161743712,9707292869,18707263513,17764727304,15580347977,4109742110
"호주","폐수처리 및 자원재활용",161975,600247,113629,228341,204973,171078,178394,236727,42589,26562,575007,303692,806273,45426,304871,345242,1016788,310229,695435,722930,179755
"홍콩","전산업",15531092181,18978862735,18654450501,19771871660,19661055305,25294346239,30968404661,32606188713,27756308307,27256402067,30418178357,32782449025,39112280605,45996440875,31912875947,30653789865,37467076424,27651186008,25193553694,35021610776,8774895195
"홍콩","농림어업",25937781,25326045,25974796,37078461,41859285,48078214,52481613,42790239,64874326,66514186,58234620,42001344,48776407,55157307,54481958,57221751,63972860,52799952,60332374,41873390,13596094
"홍콩","광업",4824121,5588143,6956272,8218270,6197015,4430337,5061172,3288986,3546995,3971803,1915412,2384820,2423942,5763900,3798120,5256117,7172314,11551664,12324337,11602070,2653177
"홍콩","제조업",15439659237,18856186888,18555932648,19650148503,19557567105,25207275142,30889807044,32537558752,27657801645,27140537320,30318775635,32709072334,39031291095,45900495175,31832846967,30569103346,37368103621,27560522009,25107046190,34964033505,8755806142
"홍콩","전기가스증기수도",-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"홍콩","폐수처리 및 자원재활용",60671042,91761659,65586785,76426426,55431900,34562546,21054832,22550736,30085341,45378758,39252690,28990527,29789161,35024493,21748902,22208651,27827629,26312383,13850793,4101811,2839782
