"시점",전국,전국
"시점",제조업,제조업
"시점",생산자제품 출하지수(계절조정),생산자제품 재고지수(계절조정)
"2003.03",56.346,44.196
"2003.04",55.752,44.925
"2003.05",55.680,44.799
"2003.06",57.136,45.114
"2003.07",54.491,45.022
"2003.08",57.074,45.422
"2003.09",58.663,44.863
"2003.10",59.791,44.256
"2003.11",59.720,44.237
"2003.12",60.847,44.546
"2004.01",61.380,44.288
"2004.02",62.499,45.843
"2004.03",62.037,46.277
"2004.04",62.765,45.711
"2004.05",63.431,46.433
"2004.06",61.709,46.392
"2004.07",61.380,46.515
"2004.08",61.770,46.968
"2004.09",63.102,47.048
"2004.10",63.297,46.873
"2004.11",64.159,47.960
"2004.12",62.836,48.839
"2005.01",65.748,49.536
"2005.02",64.026,49.404
"2005.03",65.153,49.780
"2005.04",64.621,50.992
"2005.05",64.221,50.859
"2005.06",65.676,49.675
"2005.07",65.881,50.104
"2005.08",66.076,48.964
"2005.09",66.015,50.106
"2005.10",67.399,49.832
"2005.11",70.382,50.172
"2005.12",69.387,50.918
"2006.01",71.900,51.433
"2006.02",69.849,53.147
"2006.03",70.648,54.434
"2006.04",70.116,54.569
"2006.05",71.376,54.848
"2006.06",70.976,55.505
"2006.07",68.065,56.019
"2006.08",72.104,54.755
"2006.09",73.755,55.753
"2006.10",75.744,55.295
"2006.11",75.282,55.407
"2006.12",73.427,55.746
"2007.01",74.226,57.517
"2007.02",75.345,57.220
"2007.03",74.288,57.079
"2007.04",75.415,56.718
"2007.05",76.072,56.856
"2007.06",75.815,57.791
"2007.07",77.999,57.432
"2007.08",77.599,57.692
"2007.09",77.333,57.315
"2007.10",80.378,58.078
"2007.11",81.310,57.727
"2007.12",81.444,58.935
"2008.01",82.295,60.134
"2008.02",80.973,61.481
"2008.03",82.562,61.889
"2008.04",82.429,63.114
"2008.05",81.239,64.058
"2008.06",80.778,67.212
"2008.07",81.568,65.740
"2008.08",80.183,65.978
"2008.09",79.978,67.025
"2008.10",78.593,67.932
"2008.11",71.509,66.846
"2008.12",66.147,62.983
"2009.01",65.481,59.771
"2009.02",70.249,58.806
"2009.03",72.370,58.096
"2009.04",75.087,56.806
"2009.05",75.682,55.615
"2009.06",79.384,55.758
"2009.07",80.378,55.317
"2009.08",79.188,55.990
"2009.09",82.899,57.541
"2009.10",81.568,56.575
"2009.11",82.766,57.138
"2009.12",84.418,58.138
"2010.01",83.539,61.668
"2010.02",84.160,63.743
"2010.03",86.290,63.558
"2010.04",87.978,64.708
"2010.05",88.954,64.559
"2010.06",90.196,64.748
"2010.07",90.374,65.352
"2010.08",90.108,65.832
"2010.09",90.196,66.882
"2010.10",89.931,67.067
"2010.11",91.351,66.846
"2010.12",92.238,68.512
"2011.01",94.991,66.455
"2011.02",92.327,66.647
"2011.03",93.837,68.558
"2011.04",92.772,69.547
"2011.05",93.393,70.585
"2011.06",94.015,72.431
"2011.07",94.280,72.353
"2011.08",94.280,72.772
"2011.09",94.902,74.430
"2011.10",94.991,75.930
"2011.11",93.748,76.973
"2011.12",92.772,78.755
"2012.01",95.879,75.411
"2012.02",96.944,76.399
"2012.03",94.280,76.890
"2012.04",95.168,76.732
"2012.05",96.766,76.815
"2012.06",95.879,75.682
"2012.07",94.813,74.546
"2012.08",92.416,77.342
"2012.09",95.612,75.835
"2012.10",95.434,76.201
"2012.11",95.701,79.302
"2012.12",96.944,82.569
"2013.01",97.299,82.127
"2013.02",96.144,80.458
"2013.03",94.902,80.498
"2013.04",94.902,79.151
"2013.05",95.523,78.839
"2013.06",96.589,78.718
"2013.07",94.813,79.931
"2013.08",97.299,79.858
"2013.09",94.813,82.564
"2013.10",96.944,82.839
"2013.11",96.144,84.394
"2013.12",97.654,86.246
"2014.01",97.565,83.827
"2014.02",96.411,83.738
"2014.03",97.476,84.937
"2014.04",96.855,85.668
"2014.05",95.523,84.118
"2014.06",97.654,84.781
"2014.07",97.210,85.426
"2014.08",95.879,84.026
"2014.09",95.257,85.476
"2014.10",94.369,85.195
"2014.11",96.411,84.640
"2014.12",98.010,84.210
"2015.01",95.623,83.439
"2015.02",96.975,84.668
"2015.03",95.236,85.487
"2015.04",96.589,86.973
"2015.05",94.850,86.606
"2015.06",96.202,89.586
"2015.07",95.623,89.582
"2015.08",99.486,90.535
"2015.09",98.907,90.833
"2015.10",99.293,89.791
"2015.11",98.231,89.208
"2015.12",97.265,88.893
"2016.01",95.913,91.449
"2016.02",97.072,92.479
"2016.03",98.424,92.989
"2016.04",97.844,91.431
"2016.05",99.390,91.122
"2016.06",98.810,90.586
"2016.07",98.520,89.876
"2016.08",97.651,88.691
"2016.09",97.844,89.241
"2016.10",97.651,87.962
"2016.11",102.287,88.220
"2016.12",101.515,86.259
"2017.01",102.287,85.863
"2017.02",98.714,87.105
"2017.03",100.935,87.554
"2017.04",100.066,88.898
"2017.05",99.197,91.040
"2017.06",99.680,89.567
"2017.07",99.293,89.424
"2017.08",100.549,89.677
