date,PC1,PC2,growth_index
2009-07-01,-2.711093001104315,-1.177391105242614,-1.6820648609323827
2009-08-01,-2.7158783396568915,-0.4438354964843695,-1.508319180388855
2009-09-01,-2.436282517746023,-0.8475875620369104,-1.4610058168157394
2009-10-01,-2.6541963861409594,-0.1327365458738557,-1.4017518130350068
2009-11-01,-2.631811711601279,-0.6125530934512241,-1.5054607952578538
2009-12-01,-2.795758590004778,-0.5042845663905015,-1.5640675651430453
2010-01-01,-2.9723201080801385,0.16737076192206912,-1.4938475798212567
2010-02-01,-2.921181637799331,0.10751549877470733,-1.4818328326156682
2010-03-01,-2.8786154425514847,0.523739623245487,-1.3598780861819988
2010-04-01,-3.002565289879617,0.6821306542544956,-1.3858013839333811
2010-05-01,-3.088893376564552,0.40616224237383103,-1.496649852282423
