date,y_spd,manu_ratio,bsi_inv_l,employ_l,durable_l,dubai_l
2007-02-01,0.09999999999999964,0.27517407824815354,4.579852378003801,4.09933210373314,3.835141961092188,4.023206534388761
2007-03-01,0.15000000000000036,0.2635131580935921,4.574710978503383,4.09933210373314,3.828641396489095,4.077706921069077
2007-04-01,0.1299999999999999,0.2849145735489129,4.574710978503383,4.097672352314776,3.8044377947482086,4.1568497675734974
2007-05-01,0.1200000000000001,0.29115850471254934,4.61512051684126,4.096009841541162,3.828641396489095,4.166355098198373
2007-06-01,0.2400000000000002,0.27146310804108964,4.620058798481842,4.096009841541162,3.8110970868381857,4.192831508936755
2007-07-01,0.16999999999999993,0.3060943668204059,4.61512051684126,4.096009841541162,3.8088822465086327,4.250208060053033
2007-08-01,0.13999999999999968,0.29643602478693776,4.605170185988092,4.0943445622221,3.835141961092188,4.209754413732928
2007-09-01,0.1299999999999999,0.2995584030771097,4.600157644164547,4.0943445622221,3.8308129500026027,4.296604902619887
2007-10-01,0.13999999999999968,0.32495357223817667,4.61512051684126,4.0943445622221,3.8022081394209395,4.355939299910563
2007-11-01,0.07000000000000028,0.3425440085460334,4.600157644164547,4.096009841541162,3.8155121050473024,4.459797532972339
2007-12-01,-0.0699999999999994,0.3234805258310889,4.605170185988092,4.096009841541162,3.832979798087693,4.457365991219697
2008-01-01,0.11999999999999922,0.31373494712257166,4.620058798481842,4.097672352314776,3.885679030088544,4.46843366241462
2008-02-01,0.22000000000000064,0.2753875817809073,4.59511985013459,4.096009841541162,3.8501476017100584,4.5005871457956514
2008-03-01,0.20999999999999996,0.2882070683244491,4.61015772749913,4.0943445622221,3.92395157629342,4.568194949863196
2008-04-01,0.1899999999999995,0.2669947017608374,4.61015772749913,4.0943445622221,3.919991175077323,4.6430438384161725
2008-05-01,0.21999999999999975,0.23760650446606757,4.624972813284271,4.092676505121403,3.893859034800475,4.781808959646548
2008-06-01,0.1899999999999995,0.18385284820945724,4.634728988229636,4.091005660956586,3.7954891891721947,4.853747538559111
2008-07-01,0.07000000000000028,0.2157294599576316,4.61015772749913,4.091005660956586,3.8416005411316,4.868149645799501
2008-08-01,0.14000000000000057,0.19499016920363665,4.584967478670572,4.087655574071304,3.7977338590260183,4.724019319826472
2008-09-01,0.1800000000000006,0.17668591273242473,4.59511985013459,4.085976312551584,3.763522997109702,4.567260612914871
2008-10-01,0.4400000000000004,0.14577543210251864,4.564348191467836,4.085976312551584,3.768152635008444,4.212720014957422
2008-11-01,0.7600000000000007,0.06743184959911819,4.5217885770490405,4.085976312551584,3.6454498961866,3.910021002757473
2008-12-01,0.8999999999999999,0.049014689350647345,4.448516375942715,4.08260930600368,3.6635616461296463,3.674273301724574
2009-01-01,0.98,0.09123943072744023,4.343805421853684,4.079230924412053,3.7232808808312687,3.7784916128036232
2009-02-01,1.4600000000000004,0.17780218272199555,4.382026634673881,4.075841090657541,3.775057150354989,3.7407600759909254
2009-03-01,1.2799999999999998,0.2196950342060564,4.3694478524670215,4.072439726834051,3.754198920234579,3.8008679560619836
2009-04-01,1.1400000000000006,0.279005487305092,4.418840607796598,4.072439726834051,3.7932394694381792,3.888754378488792
2009-05-01,1.2199999999999998,0.30808740241175236,4.460144413937834,4.069026754237811,3.9589065913269965,4.048824046920291
2009-06-01,1.17,0.35327593880868324,4.4942386252808095,4.07753744390572,3.9889840465642745,4.217299386280878
2009-07-01,1.0899999999999999,0.373660231508965,4.52720864451838,4.072439726834051,3.824284091120139,4.182355439544814
2009-08-01,1.0200000000000005,0.34665166882848286,4.56954300834494,4.074141854904581,3.8088822465086327,4.27332721775054
2009-09-01,0.9799999999999995,0.36512526215547325,4.537961436294641,4.075841090657541,3.9396381724611196,4.212868064406208
2009-10-01,0.9800000000000004,0.36586983667410333,4.584967478670572,4.074141854904581,3.9945242269398897,4.29346860769209
2009-11-01,1.0699999999999994,0.37054795460115475,4.543294782270004,4.072439726834051,3.977810745966149,4.345232973844869
2009-12-01,1.0699999999999994,0.37296115419100495,4.5591262474866845,4.069026754237811,4.023564380161053,4.3129444734864375
2010-01-01,1.0599999999999996,0.3035484308856695,4.61512051684126,4.065602093356446,4.021773869387265,4.3342796761761475
